,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,Berdoa,"doa, mendoakan, didoakan","berbicara kepada Tuhan (G);
memohon (W);",Berdoa berarti berbicara atau mengajukan permintaan kepada Tuhan. Yesus memerintahkan orang Kristen untuk berdoa kepada Tuhan di dalam nama Yesus.,"memuji, menyembah",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Memberitakan,"pemberita, diberitakan, berkhotbah, pengkhotbah",memberitahukan firman Allah yang indah (G);,Memberitakan berarti menyampaikan pesan atau mengabarkan kisah kepada orang lain yang belum pernah mereka dengar sebelumnya.,"mengajar, nabi",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Imam,Imam-imam,Orang yang memberi kepada Tuhan (R); Orang yang mempersembahkan binatang (W);,"Imam adalah pemimpin agama yang (1) mempersembahkan korban, (2) mengajarkan Hukum Allah, (3) menengahi perselisihan, (4) memastikan bahwa seseorang sudah sembuh dan tahir dan (5) mengatur Bait Allah dan perbendaharaannya.",orang Lewi,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Priskila,Priska,,"Priskila, yang juga disebut Priska, adalah istri Akuila. Mereka adalah orang-orang Yahudi dari Roma yang membantu Paulus untuk menanam gereja di Yunani dan Siria. (Nama Priska berarti ""terhormat"" dalam bahasa Latin.)",Akwila,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Janji,"janji-janji, menjanjikan, dijanjikan, berjanji, berjanjilah, janjilah","menepatkan sesuatu dengan perkataan / mulut;
memberitahu seseorang apa yang akan kamu lakukan di masa depan (G)","Janji adalah ucapan seseorang untuk melakukan sesuatu yang baik di masa depan. Allah akan selalu melakukan apa yang telah Dia janjikan. Beberapa janji Allah bersyarat, yaitu mengharuskan manusia untuk melakukan sesuatu terlebih dahulu. Misalnya, “Jika kamu mengaku bahwa Yesus adalah Tuhan (syarat), maka kamu akan diselamatkan (janji).”","perjanjian, sumpah",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Nubuatan,"Nubuat-nubuat, nubuat",pembicaraan nabi (R); ,"Nubuatan adalah pesan yang diberikan Allah kepada seseorang untuk disampaikan kepada orang lain. Ada nubuatan yang memperingatkan para pendosa untuk bertobat, nubuatan yang memberikan bimbingan atau pengajaran, dan nubuatan lainnya yang memberitahukan apa yang akan terjadi di masa depan. (Alkitab berisi ratusan nubuatan.)","malaikat, pemberita, guru, rasul, bernubuat",Allah (not good in PNG),,,,,,,,,,,,,,,,,,,,,,,,,
t,Bernubuat,"bernubuatlah, menubuatkan, dinubuatkan",pembicaraan nabi (R);,Bernubuat berarti menyampaikan nubuatan kepada orang lain. ,"nabi, nubuat","I would remove this: All believers can prophesy (through songs, citing Scripture, teaching, testimonies, teaching and drama.) Allah not  good in PNG. (Hilkka)","1 Corinthians 14:3, 24-26",,,,,,,,,,,,,,,,,,,,,,,,
t,Nabi,"nabi-nabi, nabiah","orang yang menyampaikan firman Allah (G);
orang yang diberi perkataan dari Allah (D);
mulut Allah (juru bicara);
seorang utusan manusia dari Allah atau dewa/berhala;
Poropet (K)","Nabi atau nabiah adalah orang yang mendapat karunia Allah untuk menyampaikan pesan-pesan dari Allah kepada orang lain. Beberapa nabi Ibrani menulis kitab-kitab Perjanjian Lama. Orang-orang Kristen yang memiliki karunia bernubuat menyampaikan pesan-pesan yang memberikan bimbingan atau pengajaran kepada orang lain ketika mereka membutuhkannya. (Orang Kristen yang bernubuat bisa membuat kesalahan, jadi mereka harus terbuka untuk dikoreksi.)","malaikat, pemberita, guru, rasul, nubuat, bernubuat",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Mazmur,"lagu, puisi",Lagu Daud (R); lagu (G);,"Mazmur adalah puisi atau lagu yang ditulis dalam bahasa Ibrani. Seringkali, satu baris mazmur diulangi di baris lain dengan menggunakan kata yang berbeda. Mazmur dapat mengungkapkan pujian, doa, ratapan, kutuk, pengajaran dan prediksi. (Orang Yahudi dan Kristen sering menyanyikan mazmur dalam ibadah mereka.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,murni,kemurnian,"bersih (R); tidak ada perilaku kotor (R);
perilaku lurus di mata Allah (K), tidak ada kekotoran di dalamnya (K);",,"bersih, tahir",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Rabi,Rabuni,"Guru saya; Guru (R, W);",Rabi artinya Guruku. Guru resmi agama Yahudi disebut Rabi. Cara yang lebih terhormat untuk mengatakan Guruku adalah Rabuni. Guru Kristen biasanya disebut Pendeta.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Rahel,,,"Rahel artinya domba betina. Salah satu dari dua istri Yakub bernama Rahel. Dia adalah ibu Yusuf dan Benyamin. Di dalam kutipan Yeremia di Matius 2:18 namanya digunakan untuk mewakili semua ibu orang Yahudi. Dalam Yeremia 31:15, ibu-ibu di Israel disebut Rahel, dan di Matius 2:18, ibu-ibu di Betlehem disebut Rahel, ketika mereka menangisi anak-anak mereka yang ditawan atau meninggal.",,,GC: Does this capture the point? RRyes,,,,,,,,,,,,,,,,,,,,,,,,
n,Rahab,,,"Rahab adalah seorang wanita Kanaan, seorang penjaga penginapan dan seorang pelacur (mungkin pelacur di kuil orang kafir) yang tinggal di kota Yerikho sekitar 1400 tahun sebelum Yesus. Dia percaya kepada Allah Israel ketika dia mendengar bagaimana Allah menyelamatkan orang Israel dari Mesir, jadi dia membantu mata-mata Israel melarikan diri dari Yerikho. Rahab menjadi nenek moyang Yesus. (Rahab juga merupakan nama dewi Kanaan kuno.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Ribka,,,"Ribka hidup sekitar 1800 tahun sebelum Yesus. Dia adalah istri putra Abraham, Ishak, dan ibu putra kembar bernama Esau dan Yakub.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Laut Teberau,,Laut Merah (R);,"Laut Teberau / Merah terletak di antara Mesir dan jalan menuju Kanaan. Allah membuka jalan melalui laut ini bagi orang Israel saat mereka melarikan diri dari pasukan Firaun.
Laut ini juga disebut laut Merah, mungkin dari kesalahan pengejaan kata ‘teberau’ dalam bahasa Ibrani.",,,"Red may be a misspelling of the word Reed, since in Hebrew it is called the Sea of Reeds.",,,,,,,,,,,,,,,,,,,,,,,,
t,Daerah,propinsi,"tanah (G);
","Suatu daerah adalah wilayah yang luas di dalam suatu negara. Sebuah provinsi adalah daerah yang memiliki batas-batas, nama dan pemerintahan tertentu.","negeri, bangsa, kekaisaran, kerajaan",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Rehabeam,,,"Rehabeam adalah anak Raja Salomo yang bodoh. Setelah Salomo meninggal, Rehabeam menjadi raja. Tetapi ketika dia menaikkan pajak dan memperlakukan orang dengan kasar, mereka memberontak dan membagi kerajaan menjadi dua. Rehabeam memerintah Yehuda di Yerusalem, sementara Yerobeam menjadi raja atas bagian utara Israel. (Nama Rehabeam berarti ‘rakyat sudah menjadi luas’.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Bertobat,"pertobatan, tobat, tobatlah","berpaling dari hal/perbuatan yang salah dan berpaling kepada Allah;
sedih tentang hal-hal buruk yang telah Anda lakukan. Berhenti melakukannya. (G);
Mengubah pikiran (R); ","Bertobat berarti mengubah pikiran dan kelakuan. Ketika manusia bertobat, mereka memilih untuk mengubah keyakinan dan tindakan mereka, untuk menaati Allah. ","mengampuni, mengaku",,"Not a difficult concept. In the NT, choosing to be baptized was an act of repentance. ",,,,,,,,,,,,,,,,,,,,,,,,
t,Istirahat,beristirahat,,"Istirahat berarti berhenti dari kerja keras. Hukum Allah menuntut setiap orang untuk beristirahat pada hari Sabat atau hari Ketujuh setiap minggu. Istirahat atau tempat perhentiaan juga merupakan istilah kiasan (1) yang menunjukkan kedatangan Israel di Kanaan, dan (2) kehidupan orang yang beriman pada masa depan ketika Allah akan membalas iman dan ketaatan mereka.","sabat, menunggu",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ruben,,,"Ruben adalah putra sulung Yakub dan Lea. Ruben menjadi leluhur salah satu dua belas suku Israel. (Nama Ruben berarti “Lihatlah, seorang Putra”.)",,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Benar,kebenaran,"menjadi benar/layak di mata Allah;
sangat baik (G); lurus (R,W);
yang baik (G);
","Allah itu benar, karena dia selalu melakukan apa yang baik dan adil. Yesus itu benar, karena dia menaati Allah sepenuhnya dan tidak pernah berbuat dosa. Allah menganggap kita orang percaya sebagai orang benar, karena Ia mengampuni semua dosa kita dan menerima kita sebagai milik Yesus yang benar. (Allah memiliki kebenaran mutlak. Kita menerima kebenaran dari Yesus.)","adil, kudus, baik",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Keributan,"rusuh, kerusuhan, merusuh",,"Keributan terjadi ketika ada kekacauan di tengah-tengah kerumunan orang, dan orang-orang mencoba untuk menyakiti orang lain atau harta benda mereka.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Roma,"orang Roma, orang-orang Roma",,"Roma adalah ibu kota negara Italia. Pada zaman Yesus, Roma telah menaklukkan sebagian besar dunia. Kekaisaran Roma menguasai banyak negara dari sekitar 100 tahun sebelum Yesus sampai 700 tahun setelah Yesus. Meskipun orang Romawi membawa hukum yang baik ke setiap tempat, mereka memungut pajak yang berat dan meminta setiap orang untuk menghormati dewa-dewa mereka. Orang Romawi percaya bahwa raja / kaisar mereka adalah dewa. Orang Yahudi sangat membenci orang Romawi, dan orang Romawi akhirnya menghancurkan Israel. Roma membangun banyak jalan dan mencegah negara berperang satu sama lain. Hal ini membuat Kabar Baik tentang Yesus menyebar dengan sangat cepat dalam kurun waktu 300 tahun.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Rut,,,Rut adalah seorang wanita dari Moab. Dia adalah seorang janda yang menikah dengan salah satu dua putra Naomi. Rut datang bersama Naomi ke Israel di mana seorang pria yang baik bernama Boas menikahinya. Putra mereka menjadi nenek moyang Raja Daud dan Yesus.,,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Sabat,,istirahat; berhenti bekerja; hari Sabat (K);,"Sabat adalah kata Ibrani yang berarti Istirahat atau Berhenti Bekerja. Setelah menciptakan dunia, Allah (dan kemudian Hukum Musa) menetapkan hari ketujuh setiap minggu menjadi hari Sabat khusus untuk beristirahat, bukan untuk bekerja keras seperti pada hari-hari lain. Pesta dan hari raya juga merupakan hari Sabat. (Pada zaman Yesus, orang Yahudi telah menambahkan lebih banyak peraturan yang melarang kegiatan pada hari Sabat. Yesus sering melanggar peraturan-peraturan itu.)",istirahat,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Korban,"mengorbankan, dikorbankan, pengorbanan","mempersembahkan hewan potong;
memberikan hidup atau barang Anda kepada yang lain (G); hadiah yang biasanya dimasak (R);","Korban adalah segala sesuatu yang berharga yang dibunuh atau dibakar sebagai persembahan (taruh / berikan) untuk memuliakan Allah. Hukum Musa mengharuskan orang Israel mempersembahkan korban untuk membayar dosa, tetapi siapa pun dapat mempersembahkan korban untuk berterima kasih kepada Allah. (Karena Yesus telah mati sebagai korban terakhir untuk dosa, orang Kristen mempersembahkan kepada Allah penyembahan, pujian, ucapan terima kasih dan tubuh mereka sendiri sebagai persembahan yang hidup (Roma 12:1).)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Saduki,"orang Saduki, orang-orang Saduki",,Orang Saduki adalah orang Yahudi kelas atas yang kaya yang bertanggung jawab atas Bait Suci di Yerusalem. Mereka adalah bagian dari para pemimpin agama Yahudi. Mereka tidak setuju dengan orang Farisi tentang menjalankan peraturan yang tidak terdapat dalam Hukum Musa. (Orang Saduki tidak percaya ada kebangkitan orang mati.),"Farisi, ahli-ahli Taurat",This could be removed:  (They also believed that angels exist but denied that angels appeared to humans.) (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,Orang kudus,orang-orang kudus,"orang yang diperintah Allah, orang yang diperintah Yesus (G);",Orang kudus adalah orang yang menjadi milik Allah melalui iman kepada Yesus. Para rasul sering menyebut orang Kristen yang mereka kirimi surat sebagai orang kudus.,"orang Kristen, orang percaya, murid",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Samaria,"orang Samaria, orang-orang Samaria",,"Samaria pernah menjadi kota di bagian Israel utara. Setelah Asyur mendeportasi orang Israel dari Samaria sekitar 700 tahun sebelum Yesus, mereka membawa orang-orang kafir untuk tinggal di wilayah Samaria. Orang-orang Samaria ini masuk agama Yahudi, tetapi orang Israel yang tinggal di wilayah Yudea tidak pernah menerima orang Samaria sebagai orang Israel sejati karena mereka telah menikah dengan orang bukan Yahudi. Ada orang-orang Samaria   yang menyembah dewa-dewa, tetapi ada yang menyembah Allah Israel. Orang Yahudi di Yudea membenci orang Samaria.",,"Samaritan, member of a community of Jews, now nearly extinct, that claims to be related by blood to those Jews of ancient Samaria who were not deported by the Assyrian conquerors of the kingdom of Israel in 722 bce. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
n,Simson,,,"Simson hidup sekitar 1100 tahun sebelum Yesus. Namanya berarti Matahari. Dia didedikasikan kepada Allah, tetapi dia menjadi pemimpin yang tidak taat pada masa para hakim. Allah memberikan kekuatan fisik yang besar kepada Simson yang membunuh banyak musuh bangsa Israel. Namun, dia jatuh cinta dengan seorang wanita dari bangsa kafir yang kemudian menipunya. Wanita itu menyebabkan Simson semakin tidak menaati Allah dan kehilangan kekuatannya.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Samuel,,,"Samuel hidup sekitar 1100 tahun sebelum Yesus. Namanya berarti “Nama Allah”. Samuel menjadi nabi besar di Israel, dan dialah yang mengurapi Saul dan Daud sebagai raja Israel.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Menguduskan,"dikuduskan, kuduskan, kuduskanlah","menjadikan seseorang sebagai orang yang benar-benar menaati Allah (G);
membersihkan (W);","Menguduskan berarti menjadikan sesuatu atau seseorang kudus. Menguduskan juga berarti mendedikasikan diri sendiri, seseorang atau sesuatu kepada Allah. Roh Kudus menguduskan orang Kristen dengan tinggal di dalam mereka.","membenarkan, tahir, kudus",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Mahkamah Agama,,pertemuan (R); anggota-anggota pertemuan (R); pertemuan para pemimpin (W);,"Pada zaman Yesus, mahkamah agama adalah dewan yang berwenang atas hal-hal yang bersangkutan dengan agama dan bangsa Yahudi. Dewan itu terdiri dari 71 orang. Mereka dipimpin oleh imam besar Yahudi. (Mahkamah agama memutuskan bahwa Yesus harus mati, dan kemudian Paulus harus mati.) (Mahkamah agama mengirim Yesus kepada guburner Romawi di Yerusalem untuk disalibkan.)",,,"In 2018, the Sanhedrin in again active in Israel. ",,,,,,,,,,,,,,,,,,,,,,,,
n,Safira,,,"Safira dan suaminya Ananias termasuk di antara orang Kristen pertama. Mereka menjual sebagian tanah mereka dan membawa sebagian dari uang itu untuk membantu orang Kristen yang miskin. Tetapi ketika mereka berbohong tentang berapa banyak uang diterima dari penjualan tanah itu, mereka mati. (Nama Safira berarti safir, batu berharga.)",,,GC 19-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Sara,,,"Sara adalah istri pertama Abraham. Meskipun dia mandul selama bertahun-tahun, Allah berjanji bahwa Sara akan melahirkan seorang anak laki-laki di masa tuanya. Allah mengubah namanya dari Sarai, yang berarti suka bertengkar, menjadi Sara, yang berarti Putri, sebelum putra yang dijanjikan itu (Ishak) lahir.",Sarai,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Sarai,,,"Sarai adalah istri pertama Abraham yang menjadi ibu Ishak. Allah mengubah nama Sarai menjadi Sara. (Sarai berarti suka bertengkar, sedangkan Sara berarti putri.)",Sara,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Iblis,,"musuh Allah;
pemimpin roh-roh jahat (G);
roh yang menuduh orang lain;
Seytaane (W)","Iblis berarti Penuduh atau Musuh. Iblis adalah roh jahat yang kuat yang menggoda manusia untuk berbuat salah, lalu menuduhnya di hadapan Allah. Namun, Yesus membela orang percaya di hadapan Allah. (Pada akhirnya, Yesus akan melemparkan Iblis ke dalam Lautan Api, tempat di mana Iblis akan berada selamanya.)","setan, roh jahat, Beelzebul",Seytaane not helpful in PNG.,"In Hebrew, he is ha-satan = the accuser. The Book of Revelation alone makes Satan = Serpent = Dragon = Devil.",,,,,,,,,,,,,,,,,,,,,,,,
n,Saulus,,,Ada dua orang bernama Saulus: (1) Seorang pria jangkung dan tampan yang dipilih Israel untuk menjadi raja pertamanya 1100 tahun sebelum Yesus. (2) Seorang Farisi Yahudi yang berusaha membunuh orang Kristen. Dia kemudian menjadi seorang Kristen dan seorang Rasul. Dia membawa Kabar Baik kepada orang-orang bukan Yahudi dengan menggunakan nama Paulus. (Nama Ibrani Saulus artinya Diminta.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Juruselamat,,orang yang membebaskan; orang yang menyelamatkan (kita) (G);,"Allah adalah Juruselamat Israel, yang menyelamatkan mereka dari musuh mereka. Yesus adalah Juruselamat bagi semua manusia. Dia menyelamatkan semua yang berseru kepada-Nya dengan iman dari kuasa Iblis, murka dan penghakiman Allah, kematian kekal, dan neraka.(Ini adalah cara Perjanjian Baru mengatakan bahwa orang Kristen diselamatkan.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Tongkat kerajaan,,"tongkat kekuasaan (G);
",Tongkat kerajaan adalah tongkat atau bola [di atas tongkat] yang dipegang raja di tangan mereka saat membuat hukum atau keputusan. Tongkat kerajaan adalah simbol kekuasaan kerajaan.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Ahli Taurat,Ahli-ahli Taurat,"Guru hukum Musa;
Orang yang mengajar hukum; guru hukum Yahudi;
","Ahli Taurat membuat salinan kitab Taurat, mempelajari Taurat, dan mengajarkan Taurat kepada orang lain. Selama masa Yesus dan gereja mula-mula, banyak ahli Taurat Yahudi bergabung dengan orang Farisi untuk menentang Yesus dan para rasulnya.","pemimpin agama Yahudi, Farisi, 
Saduki",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Gulungan,Gulungan-gulungan,"buku yang digulung;
kertas digulung (G);
","Gulungan adalah sepotong kulit yang panjang (atau papirus) yang dapat ditulisi. Orang-orang menggulung gulungan itu untuk menyimpannya, dan membuka gulungan itu untuk membacanya. Buku adalah banyak kertas kecil yang diikat di tepi kertas itu untuk disatukan. Gulungan adalah cara membuat buku pada zaman dahulu. Gulungan seperti buku yang digulung.","Alkitab, buku",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Laut ,samudera,air/sungai besar (G);,Lebih dari separuh bumi ditutupi dengan air asin yang dalam. Bagian luas dari air dalam disebut laut atau samudra. Orang-orang dapat melakukan perjalanan melintasi lautan dengan perahu besar yang disebut kapal yang mengapung di atas air.,"sungai, air",,GC 19-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Septuaginta,,,"Septuaginta, yang berarti 70, adalah Perjanjian Lama yang diterjemahkan ke dalam bahasa Yunani. Sekitar 330 tahun sebelum Yesus, orang Yunani menaklukkan Israel dan Mesir tempat banyak orang Yahudi tinggal. Ketika orang Yahudi mulai berbicara bahasa Yunani, 70 orang dari mereka menerjemahkan Perjanjian Lama dari bahasa Ibrani ke bahasa Yunani. (Perjanjian Baru sering mengutip ayat-ayat dari Septuaginta daripada bahasa Ibrani.)",,,"That is more or less the tradition. Reality may be a little different, for there were also other Greek translations of the Tanakh.",,,,,,,,,,,,,,,,,,,,,,,,
t,Hamba,"Hamba-hamba, pelayan, pelayan-pelayan",orang yang bekerja untuk seseorang (G);,"Seorang hamba membantu atau bekerja untuk orang lain. Seorang hamba bisa berarti (1) seseorang yang bekerja untuk mendapatkan upah, (2) seorang budak tawanan atau debitur yang dipaksa bekerja tanpa dibayar, (3) seseorang yang rela bekerja untuk tuannya karena mengasihi tuannya. Hamba-hamba yang bekerja untuk orang yang berkuasa lebih tinggi derajatnya daripada orang miskin yang bukan seorang hamba. Para nabi dan orang Kristen disebut hamba Tuhan karena mereka rela melayani Tuhan yang menjadi Tuan mereka.",budak,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Malu,"mempermalukan, dipermalukan, memalukan, dimalukan",,Malu adalah perasaan atau emosi yang berasal dari rasa bersalah. Mempermalukan orang lain berarti menceritakan perbuatan buruk yang telah mereka lakukan. Manusia merasa malu ketika mereka menyesal berbuat salah atau ketika mereka terbukti salah atau buruk. Yesus mati bagi kita untuk menghilangkan rasa malu kita sehingga kita dapat merasa diampuni dan dikasihi.,"kesalahan, mengampuni",This is true in guilt culture:Humans feel shame or ashamed when they strongly wish they had not done something wrong.  BUT in shame culture people feel shame when they lose face/are proved wrong/bad.,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
